v,vw,o,c,h,l,t,n,pivot,r1,r2,r3,s1,s2,s3,ema_9,ema_50,rsi,atr,stoch_rsi
81964874.0,185.9465,187.15,185.64,188.44,183.885,1704171600000,1008871,,,,,,,,,,,,
58414460.0,184.3226,184.22,184.25,185.88,183.43,1704258000000,656853,,,,,,,,,,,,
71878670.0,182.0183,182.15,181.91,183.0872,180.88,1704344400000,712692,,,,,,,,,,,,
62371161.0,181.474,181.99,181.18,182.76,180.17,1704430800000,682334,,,,,,,,,,,,
59144470.0,184.3702,182.085,185.56,185.6,181.5,1704690000000,669173,,,,,,,,,,,,
42841809.0,184.3706,183.92,185.14,185.15,182.73,1704776400000,538180,,,,,,,,,,,,
46192908.0,185.2509,184.35,186.19,186.4,183.92,1704862800000,554777,,,,,,,,,,,,
49128408.0,185.0604,186.54,185.59,187.05,183.62,1704949200000,584008,,,,,,,,,,,,
40477782.0,185.8199,186.06,185.92,186.74,185.19,1705035600000,477050,,,,,,,,,,,,
65076641.0,182.8866,182.16,183.63,184.26,180.934,1705381200000,767281,,,,,,,,,,,,
47317433.0,181.9201,181.27,182.68,182.93,180.3,1705467600000,594632,,,,,,,,,,,,
77722754.0,187.9358,186.09,188.63,189.14,185.83,1705554000000,787233,,,,,,,,,,,,
68887985.0,190.6149,189.33,191.56,191.95,188.82,1705640400000,682663,,,,,,,,,,,,
60131852.0,193.9891,192.3,193.89,195.33,192.26,1705899600000,718107,,,,,,,,,,,,
42355590.0,194.8203,195.02,195.18,195.75,193.8299,1705986000000,533093,,,,,,,,,,,,
53631316.0,195.2063,195.42,194.5,196.38,194.34,1706072400000,594714,,,,,,,,,,,,
54822126.0,194.7337,195.22,194.17,196.2675,193.1125,1706158800000,644526,,,,,,,,,,,,
44587111.0,193.1207,194.27,192.42,194.76,191.94,1706245200000,534165,,,,,,,,,,,,
47145622.0,191.2954,192.01,191.73,192.2,189.58,1706504400000,599513,,,,,,,,,,,,
55836970.0,188.7927,190.94,188.04,191.8,187.47,1706590800000,690705,,,,,,,,,,,,
55467803.0,185.3525,187.04,184.4,187.095,184.35,1706677200000,679844,,,,,,,,,,,,
64885408.0,185.5688,183.985,186.86,186.95,183.82,1706763600000,820977,,,,,,,,,,,,
102527680.0,184.744,179.86,185.85,187.33,179.25,1706850000000,1108465,,,,,,,,,,,,
69654320.0,187.6824,188.15,187.68,189.25,185.84,1707109200000,804748,,,,,,,,,,,,
43490759.0,188.4788,186.86,189.3,189.31,186.7695,1707195600000,530825,,,,,,,,,,,,
53438955.0,189.3803,190.64,189.41,191.05,188.61,1707282000000,596088,,,,,,,,,,,,
40962046.0,188.3032,189.385,188.32,189.535,187.35,1707368400000,521464,,,,,,,,,,,,
45155216.0,189.0056,188.65,188.85,189.99,188.0,1707454800000,544714,,,,,,,,,,,,
41781934.0,187.5914,188.415,187.15,188.67,186.79,1707714000000,585515,,,,,,,,,,,,
56529529.0,185.0421,185.77,185.04,186.21,183.5128,1707800400000,644015,,,,,,,,,,,,
54617917.0,183.6207,185.32,184.15,185.53,182.44,1707886800000,679072,,,,,,,,,,,,
65434496.0,182.8487,183.55,183.86,184.49,181.35,1707973200000,756083,,,,,,,,,,,,
49752465.0,182.7317,183.42,182.31,184.85,181.665,1708059600000,611770,,,,,,,,,,,,
53574453.0,181.1005,181.79,181.56,182.43,180.0,1708405200000,712335,,,,,,,,,,,,
41496371.0,181.9941,181.94,182.32,182.8888,180.66,1708491600000,522492,,,,,,,,,,,,
52284192.0,183.8372,183.48,184.37,184.955,182.46,1708578000000,613892,,,,,,,,,,,,
44926677.0,182.9876,185.01,182.52,185.04,182.23,1708664400000,549250,,,,,,,,,,,,
40867421.0,181.3213,182.24,181.16,182.76,180.65,1708923600000,615639,,,,,,,,,,,,
54318851.0,181.8192,181.1,182.63,183.9225,179.56,1709010000000,669751,,,,,,,,,,,,
48943139.0,181.1915,182.51,181.42,183.12,180.13,1709096400000,596442,,,,,,,,,,,,
136682597.0,180.6781,181.27,180.75,182.57,179.53,1709182800000,813073,,,,,,,,,,,,
73450582.0,179.0322,179.55,179.66,180.53,177.38,1709269200000,911077,,,,,,,,,,,,
81505451.0,174.8938,176.15,175.1,176.9,173.79,1709528400000,1167166,,,,,,,,,,,,
94702355.0,170.3234,170.76,170.12,172.04,169.62,1709614800000,1108820,,,,,,,,,,,,
68568907.0,169.5506,171.06,169.12,171.24,168.68,1709701200000,896297,,,,,,,,,,,,
71763761.0,169.3619,169.15,169.0,170.73,168.49,1709787600000,825405,,,,,,,,,,,,
76267041.0,171.5322,169.0,170.73,173.7,168.94,1709874000000,925213,,,,,,,,,,,,
60139473.0,172.9273,172.94,172.75,174.38,172.05,1710129600000,793618,,,,,,,,,,,,
59813522.0,172.8726,173.15,173.23,174.03,171.01,1710216000000,735065,,,,,,,,,,,,
52488692.0,171.3457,172.77,171.13,173.185,170.76,1710302400000,647120,,,,,,,,,,,,
72913507.0,173.0899,172.91,173.0,174.3078,172.05,1710388800000,806014,,,,,,,,,,,,
121752699.0,171.8002,171.17,172.62,172.62,170.285,1710475200000,771387,,,,,,,,,,,,
75606556.0,175.4587,175.57,173.72,177.71,173.52,1710734400000,866430,,,,,,,,,,,,
55215244.0,175.4779,174.34,176.08,176.605,173.03,1710820800000,636058,,,,,,,,,,,,
53423102.0,177.2239,175.72,178.67,178.67,175.09,1710907200000,641653,,,,,,,,,,,,
106181270.0,172.7231,177.05,171.37,177.49,170.84,1710993600000,1224985,,,,,,,,,,,,
71146138.0,172.0464,171.76,172.28,173.05,170.06,1711080000000,736378,,,,,,,,,,,,
54288328.0,170.7132,170.565,170.85,171.94,169.45,1711339200000,727686,,,,,,,,,,,,
57388449.0,170.323,170.0,169.71,171.42,169.58,1711425600000,684303,,,,,,,,,,,,
60263665.0,172.5879,170.41,173.31,173.6,170.11,1711512000000,670629,,,,,,,,,,,,
65671690.0,171.3942,171.75,171.48,172.23,170.51,1711598400000,648026,,,,,,,,,,,,
46240500.0,170.0696,171.19,170.03,171.25,169.475,1711944000000,676830,,,,,,,,,,,,
49297581.0,168.8967,169.08,168.84,169.34,168.2302,1712030400000,608914,,,,,,,,,,,,
47691715.0,169.8623,168.79,169.65,170.68,168.58,1712116800000,571286,,,,,,,,,,,,
53682486.0,170.1029,170.29,168.82,171.92,168.82,1712203200000,630783,,,,,,,,,,,,
42104826.0,169.6415,169.59,169.58,170.39,168.95,1712289600000,540854,,,,,,,,,,,,
37425513.0,168.6637,169.03,168.45,169.2,168.24,1712548800000,549987,,,,,,,,,,,,
42451209.0,169.1566,168.7,169.67,170.08,168.35,1712635200000,541699,,,,,,,,,,,,
49691936.0,167.9914,168.8,167.78,169.09,167.11,1712721600000,647587,,,,,,,,,,,,
91053075.0,172.6956,168.34,175.04,175.46,168.16,1712808000000,828408,,,,,,,,,,,,
101282386.0,176.3413,174.26,176.55,178.36,174.21,1712894400000,960229,,,,,,,,,,,,
70733115.0,174.19,175.36,172.69,176.63,172.5,1713153600000,846703,,,,,,,,,,,,
71583932.0,170.0693,171.75,169.38,173.76,168.27,1713240000000,834229,,,,,,,,,,,,
48503680.0,169.018,169.61,168.0,170.65,168.0,1713326400000,598926,,,,,,,,,,,,
40735511.0,167.4157,168.03,167.04,168.64,166.55,1713412800000,553162,,,,,,,,,,,,
66084170.0,165.1519,166.21,165.0,166.4,164.075,1713499200000,754706,,,,,,,,,,,,
46488244.0,165.9694,165.515,165.84,167.26,164.77,1713758400000,610286,,,,,,,,,,,,
46956672.0,166.5052,165.35,166.9,167.05,164.92,1713844800000,554862,,,,,,,,,,,,
47007455.0,168.4251,166.54,169.02,169.3,166.21,1713931200000,584920,,,,,,,,,,,,
48858902.0,169.4307,169.525,169.89,170.61,168.1511,1714017600000,608795,,,,,,,,,,,,
44014087.0,170.0062,169.88,169.3,171.34,169.18,1714104000000,563857,,,,,,,,,,,,
66891905.0,174.3826,173.37,173.5,176.03,173.1,1714363200000,808166,,,,,,,,,,,,
64066593.0,172.1915,173.33,170.33,174.99,170.0,1714449600000,647398,,,,,,,,,,,,
48416441.0,170.7483,169.58,169.3,172.705,169.11,1714536000000,648581,,,,,,,,,,,,
91402452.0,174.57,172.51,173.03,173.415,170.89,1714622400000,944012,,,,,,,,,,,,
160948084.0,184.3811,186.645,183.38,187.0,182.66,1714708800000,1468448,,,,,,,,,,,,
75883763.0,181.8762,182.354,181.71,184.2,180.42,1714968000000,898724,,,,,,,,,,,,
74139796.0,182.7881,183.45,182.4,184.9,181.32,1715054400000,747423,,,,,,,,,,,,
43762264.0,182.4746,182.85,182.74,183.07,181.45,1715140800000,518558,,,,,,,,,,,,
47493785.0,183.9877,182.56,184.57,184.66,182.11,1715227200000,550949,,,,,,,,,,,,
48525869.0,183.0992,184.9,183.05,185.09,182.13,1715313600000,558732,,,,,,,,,,,,
68586935.0,186.2008,185.435,186.28,187.1,184.62,1715572800000,726471,,,,,,,,,,,,
50551025.0,187.1838,187.51,187.43,188.3,186.29,1715659200000,559445,,,,,,,,,,,,
67561123.0,189.651,187.91,189.72,190.65,187.37,1715745600000,727552,,,,,,,,,,,,
51938566.0,190.1107,190.47,189.84,191.095,189.6601,1715832000000,566892,,,,,,,,,,,,
39819440.0,189.925,189.51,189.87,190.81,189.18,1715918400000,478115,,,,,,,,,,,,
43637717.0,191.0833,189.325,191.04,191.9199,189.01,1716177600000,566877,,,,,,,,,,,,
41192656.0,192.2516,191.09,192.35,192.73,190.9201,1716264000000,502712,,,,,,,,,,,,
33510741.0,191.4481,192.265,190.9,192.8231,190.27,1716350400000,452301,,,,,,,,,,,,
48553611.0,188.2595,190.98,186.88,191.0,186.625,1716436800000,573924,,,,,,,,,,,,
35429737.0,189.7127,188.82,189.98,190.58,188.0404,1716523200000,492815,,,,,,,,,,,,
51021752.0,190.8353,191.51,189.99,193.0,189.1,1716868800000,702124,,,,,,,,,,,,
51934816.0,191.1313,189.61,190.29,192.247,189.51,1716955200000,603438,,,,,,,,,,,,
48211467.0,191.4073,190.76,191.29,192.18,190.63,1717041600000,568919,,,,,,,,,,,,
71937580.0,191.5904,191.44,192.25,192.57,189.91,1717128000000,618138,,,,,,,,,,,,
48702790.0,193.7882,192.9,194.03,194.99,192.52,1717387200000,700898,,,,,,,,,,,,
46573003.0,194.3005,194.635,194.35,195.32,193.0342,1717473600000,575237,,,,,,,,,,,,
53100041.0,195.8699,195.4,195.87,196.9,194.87,1717560000000,648218,,,,,,,,,,,,
39591471.0,195.3477,195.685,194.48,196.5,194.17,1717646400000,550051,,,,,,,,,,,,
52508446.0,195.8927,194.65,196.89,196.94,194.14,1717732800000,505896,,,,,,,,,,,,
95034362.0,194.4454,196.9,193.12,197.3,192.15,1717992000000,1115208,,,,,,,,,,,,
169677009.0,203.1517,193.65,207.15,207.16,193.63,1718078400000,1601717,,,,,,,,,,,,
197067068.0,215.2738,207.37,213.07,220.2,206.9,1718164800000,1860933,,,,,,,,,,,,
96562134.0,214.013,214.74,214.24,216.75,211.6,1718251200000,1032908,,,,,,,,,,,,
69150814.0,212.7632,213.85,212.49,215.17,211.3,1718337600000,793665,,,,,,,,,,,,
92964543.0,216.4079,213.37,216.67,218.95,212.72,1718596800000,1034894,,,,,,,,,,,,
78534656.0,214.7421,217.59,214.29,218.63,213.0,1718683200000,919913,,,,,,,,,,,,
83863022.0,210.647,213.93,209.68,214.24,208.85,1718856000000,1005250,,,,,,,,,,,,
204018186.0,208.6028,210.39,207.49,211.89,207.11,1718942400000,881776,,,,,,,,,,,,
76303387.0,209.3985,207.72,208.14,212.7,206.59,1719201600000,916066,,,,,,,,,,,,
54266550.0,209.7069,209.15,209.07,211.38,208.61,1719288000000,621125,,,,,,,,,,,,
64531178.0,213.1428,211.5,213.25,214.86,210.64,1719374400000,769036,,,,,,,,,,,,
48631748.0,213.9094,214.69,214.1,215.7395,212.35,1719460800000,644311,,,,,,,,,,,,
80927625.0,212.5954,215.77,210.62,216.07,210.3,1719547200000,729816,,,,,,,,,,,,
59475152.0,215.4872,212.09,216.75,217.51,211.92,1719806400000,784772,,,,,,,,,,,,
57112299.0,219.183,216.15,220.27,220.38,215.1,1719892800000,689939,,,,,,,,,,,,
36707517.0,220.6457,220.0,221.55,221.55,219.03,1719979200000,566735,,,,,,,,,,,,
58287571.0,224.943,221.65,226.34,226.45,221.65,1720152000000,767327,,,,,,,,,,,,
57456163.0,226.3221,227.09,227.82,227.85,223.25,1720411200000,790011,,,,,,,,,,,,
47531745.0,228.2117,227.93,228.68,229.4,226.3721,1720497600000,651012,,,,,,,,,,,,
61539280.0,231.6381,229.3,232.98,233.08,229.25,1720584000000,782437,,,,,,,,,,,,
63197762.0,228.4762,231.39,227.57,232.39,225.77,1720670400000,889216,,,,,,,,,,,,
51621443.0,230.9692,228.92,230.54,232.64,228.68,1720756800000,706216,,,,,,,,,,,,
