v,vw,o,c,h,l,t,n,pivot,r1,r2,r3,s1,s2,s3,ema_9,ema_50,rsi,atr,stoch_rsi
36936833.0,227.4445,227.92,226.49,229.86,225.68,1724817600000,563091,,,,,,,,,,,,
51072782.0,231.0131,230.1,229.79,232.92,228.88,1724904000000,723070,,,,,,,,,,,,
50340308.0,228.9102,230.19,229.0,230.4,227.48,1724990400000,594026,,,,,,,,,,,,
49286866.0,223.8154,228.55,222.77,229.0,221.17,1725336000000,813544,,,,,,,,,,,,
42699700.0,219.9426,221.66,220.85,221.78,217.48,1725422400000,679903,,,,,,,,,,,,
34772036.0,223.133,221.625,222.38,225.48,221.52,1725508800000,587991,,,,,,,,,,,,
45965359.0,221.6809,223.95,220.82,225.24,219.77,1725595200000,663919,,,,,,,,,,,,
65865433.0,219.3513,220.82,220.91,221.27,216.71,1725854400000,945401,,,,,,,,,,,,
51131372.0,219.5763,218.92,220.11,221.48,216.73,1725940800000,684884,,,,,,,,,,,,
42551999.0,221.1679,221.455,222.66,223.09,217.89,1726027200000,609436,,,,,,,,,,,,
36818998.0,222.3887,222.5,222.77,223.55,219.82,1726113600000,556880,,,,,,,,,,,,
36462779.0,222.925,223.58,222.5,224.04,221.91,1726200000000,541838,,,,,,,,,,,,
58316431.0,215.9298,216.54,216.32,217.22,213.92,1726459200000,870701,,,,,,,,,,,,
44001409.0,216.1735,215.75,216.79,216.9,214.5,1726545600000,651393,,,,,,,,,,,,
59023399.0,220.4441,217.55,220.69,222.71,217.54,1726632000000,832968,,,,,,,,,,,,
65015591.0,228.385,224.99,228.87,229.82,224.63,1726718400000,808483,,,,,,,,,,,,
278588717.0,229.0164,229.97,228.2,233.09,227.62,1726804800000,971653,,,,,,,,,,,,
50709047.0,227.0625,227.34,226.47,229.45,225.81,1727064000000,693243,,,,,,,,,,,,
41499749.0,227.2442,228.645,227.37,229.35,225.73,1727150400000,519517,,,,,,,,,,,,
39976689.0,225.8328,224.93,226.37,227.29,224.02,1727236800000,564547,,,,,,,,,,,,
34812774.0,227.2682,227.3,227.52,228.5,225.41,1727323200000,433069,,,,,,,,,,,,
31421839.0,228.1557,228.46,227.79,229.52,227.3,1727409600000,504046,,,,,,,,,,,,
52877673.0,231.9696,230.04,233.0,233.0,229.65,1727668800000,710005,,,,,,,,,,,,
59761880.0,225.9623,229.52,226.21,229.65,223.74,1727755200000,832034,,,,,,,,,,,,
31929459.0,226.0301,225.89,226.78,227.37,223.02,1727841600000,504646,,,,,,,,,,,,
32633355.0,224.9801,225.14,225.67,226.805,223.32,1727928000000,516279,,,,,,,,,,,,
35647254.0,225.8453,227.9,226.8,228.0,224.13,1728014400000,558114,,,,,,,,,,,,
37595470.0,223.3102,224.5,221.69,225.69,221.33,1728273600000,607187,,,,,,,,,,,,
30387437.0,225.0202,224.3,225.77,225.98,223.25,1728360000000,495458,,,,,,,,,,,,
31586075.0,228.2639,225.23,229.54,229.75,224.83,1728446400000,519212,,,,,,,,,,,,
27135650.0,228.5405,227.78,229.04,229.5,227.17,1728532800000,446786,,,,,,,,,,,,
30412936.0,228.0383,229.3,227.55,229.41,227.34,1728619200000,485404,,,,,,,,,,,,
34386471.0,230.6959,228.7,231.3,231.73,228.6,1728878400000,580463,,,,,,,,,,,,
60799239.0,234.85,233.61,233.85,237.49,232.37,1728964800000,827448,,,,,,,,,,,,
33354125.0,231.0936,231.6,231.78,232.12,229.84,1729051200000,551037,,,,,,,,,,,,
